ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300001.SZ,20240229,18.88,19.86,18.88,19.86,18.87,0.99,5.2464,207760.12,406403.936
300002.SZ,20240229,10.35,10.93,10.35,10.86,10.44,0.42,4.023,1088490.67,1169337.438
300003.SZ,20240229,14.7,15.14,14.6,15.09,14.83,0.26,1.7532,203919.86,305059.774
300004.SZ,20240229,4.3,4.56,4.27,4.54,4.36,0.18,4.1284,88454.57,39382.466
300005.SZ,20240229,4.84,5.05,4.8,5.04,4.9,0.14,2.8571,151621.5,75178.117
300006.SZ,20240229,2.64,2.75,2.6,2.74,2.66,0.08,3.0075,241489.38,65167.221
300007.SZ,20240229,15.2,16.18,15.2,16.16,15.37,0.79,5.1399,140654.74,224083.283
300008.SZ,20240229,3.55,3.75,3.54,3.74,3.57,0.17,4.7619,393614.3,144285.357
300009.SZ,20240229,9.67,10.05,9.67,9.98,9.73,0.25,2.5694,171127.34,169413.411
300010.SZ,20240229,2.29,2.36,2.24,2.33,2.29,0.04,1.7467,187577.04,43135.816
300011.SZ,20240229,5.57,5.87,5.54,5.86,5.62,0.24,4.2705,111213.04,64153.433
300012.SZ,20240229,12.73,13.18,12.73,13.18,12.8,0.38,2.9688,240565.35,312400.583
300013.SZ,20240229,2.65,2.88,2.65,2.85,2.8,0.05,1.7857,346569.58,97251.76
300014.SZ,20240229,35.63,38.33,35.63,38.31,35.98,2.33,6.4758,437474.3,1628592.208
300015.SZ,20240229,14.29,14.66,14.19,14.65,14.38,0.27,1.8776,880620.28,1275832.972
300016.SZ,20240229,4.64,4.88,4.62,4.86,4.7,0.16,3.4043,134386.0,64255.314
300017.SZ,20240229,10.13,10.46,9.96,10.25,9.99,0.26,2.6026,1949552.59,1986959.489
300018.SZ,20240229,4.61,4.87,4.61,4.86,4.68,0.18,3.8462,108964.07,52118.876
300019.SZ,20240229,13.0,13.85,12.98,13.82,13.35,0.47,3.5206,48564.42,66032.575
300020.SZ,20240229,6.41,6.82,6.41,6.82,6.42,0.4,6.2305,453255.67,303271.406
300021.SZ,20240229,3.81,3.95,3.81,3.95,3.85,0.1,2.5974,103236.0,40124.764
300022.SZ,20240229,3.8,3.99,3.78,3.99,3.84,0.15,3.9063,139465.3,54609.823
300024.SZ,20240229,11.41,12.05,11.41,11.95,11.39,0.56,4.9166,614849.93,728975.713
300025.SZ,20240229,7.91,8.28,7.78,8.2,7.95,0.25,3.1447,101639.02,82457.326
300026.SZ,20240229,3.85,3.99,3.84,3.97,3.9,0.07,1.7949,559950.36,220915.796
300027.SZ,20240229,2.28,2.45,2.2,2.44,2.43,0.01,0.4115,2133068.44,502310.754
300029.SZ,20240229,4.72,4.95,4.65,4.89,4.79,0.1,2.0877,30757.01,14953.847
300030.SZ,20240229,4.88,5.16,4.82,5.13,4.99,0.14,2.8056,166812.04,84011.426
300031.SZ,20240229,15.17,15.99,15.08,15.96,15.3,0.66,4.3137,236887.42,371059.46
300032.SZ,20240229,4.23,4.49,4.2,4.48,4.29,0.19,4.4289,358839.66,157867.133
300033.SZ,20240229,130.31,137.19,130.31,137.07,132.41,4.66,3.5194,112917.24,1518035.837
300034.SZ,20240229,15.7,16.48,15.66,16.47,15.83,0.64,4.043,117903.61,191538.822
300035.SZ,20240229,8.65,8.98,8.57,8.97,8.56,0.41,4.7897,120734.89,106607.95
300036.SZ,20240229,15.96,16.85,15.9,16.85,16.09,0.76,4.7234,130788.81,216948.854
300037.SZ,20240229,40.37,41.2,39.12,40.68,40.64,0.04,0.0984,200434.68,805856.91
300039.SZ,20240229,6.2,6.37,6.18,6.34,6.19,0.15,2.4233,240624.46,151434.671
300040.SZ,20240229,4.15,4.32,4.15,4.32,4.19,0.13,3.1026,88780.62,37811.255
300041.SZ,20240229,8.33,8.75,8.31,8.75,8.41,0.34,4.0428,100617.51,86707.575
300042.SZ,20240229,30.8,32.95,30.7,32.4,31.0,1.4,4.5161,106607.08,341706.827
300043.SZ,20240229,2.77,2.95,2.77,2.95,2.84,0.11,3.8732,531004.0,153877.502
300044.SZ,20240229,4.84,5.3,4.83,5.3,4.97,0.33,6.6398,819921.18,424999.326
300045.SZ,20240229,19.55,22.64,19.49,22.44,19.81,2.63,13.2761,1085283.45,2312271.111
300046.SZ,20240229,11.21,12.16,11.21,12.16,11.4,0.76,6.6667,73697.0,87675.366
300047.SZ,20240229,7.29,7.9,7.25,7.85,7.46,0.39,5.2279,598179.19,460735.56
300048.SZ,20240229,4.6,4.73,4.59,4.72,4.6,0.12,2.6087,93530.6,43670.438
300049.SZ,20240229,41.46,44.18,41.46,43.99,41.45,2.54,6.1279,53721.14,231227.955
300050.SZ,20240229,3.15,3.39,3.15,3.39,3.18,0.21,6.6038,316039.72,104877.933
300051.SZ,20240229,9.07,9.45,9.0,9.35,9.03,0.32,3.5437,34867.02,32462.196
300052.SZ,20240229,15.16,15.99,15.01,15.96,15.39,0.57,3.7037,183940.8,288981.993
300053.SZ,20240229,9.96,10.76,9.96,10.75,10.0,0.75,7.5,403595.49,426169.728
300054.SZ,20240229,19.56,21.29,19.56,21.15,19.84,1.31,6.6028,134458.47,280157.502
300055.SZ,20240229,4.82,4.94,4.74,4.94,4.79,0.15,3.1315,71512.0,34890.24
300056.SZ,20240229,8.6,8.89,8.33,8.79,8.6,0.19,2.2093,139270.97,121305.359
300057.SZ,20240229,4.57,4.82,4.54,4.77,4.57,0.2,4.3764,158254.28,74591.041
300058.SZ,20240229,7.02,7.42,7.01,7.38,7.06,0.32,4.5326,1142764.5,832713.079
300059.SZ,20240229,13.63,14.07,13.6,14.04,13.64,0.4,2.9326,3145819.0,4363296.798
300061.SZ,20240229,4.3,4.63,4.3,4.47,4.21,0.26,6.1758,252265.76,111809.325
300062.SZ,20240229,4.41,4.63,4.37,4.62,4.44,0.18,4.0541,121474.26,55234.388
300063.SZ,20240229,4.81,5.25,4.79,5.19,4.93,0.26,5.2738,883262.5,451166.621
300065.SZ,20240229,7.21,7.75,7.2,7.75,7.27,0.48,6.6025,270230.0,205083.855
300066.SZ,20240229,3.64,3.85,3.63,3.85,3.69,0.16,4.336,189466.39,71620.872
300067.SZ,20240229,3.5,3.75,3.44,3.73,3.61,0.12,3.3241,1293326.32,471583.591
300068.SZ,20240229,10.99,11.6,10.95,11.6,11.07,0.53,4.7877,229720.29,261275.82
300069.SZ,20240229,9.5,10.32,9.33,10.3,9.82,0.48,4.888,34815.0,34972.273
300070.SZ,20240229,5.0,5.1,4.99,5.09,5.02,0.07,1.3944,330780.7,167207.071
300071.SZ,20240229,2.65,2.88,2.63,2.87,2.69,0.18,6.6914,361438.49,100295.957
300072.SZ,20240229,2.5,2.67,2.48,2.64,2.52,0.12,4.7619,414469.36,107338.88
300073.SZ,20240229,33.2,35.19,33.2,34.84,33.83,1.01,2.9855,170410.3,589497.623
300074.SZ,20240229,3.39,3.55,3.34,3.55,3.4,0.15,4.4118,332584.0,115619.818
300075.SZ,20240229,13.73,14.66,13.73,14.6,13.86,0.74,5.3391,234597.59,338291.953
300076.SZ,20240229,4.03,4.23,3.98,4.2,4.02,0.18,4.4776,369841.29,153275.77
300077.SZ,20240229,9.39,10.11,9.35,10.11,9.49,0.62,6.5332,238938.85,237229.685
300078.SZ,20240229,3.43,3.57,3.36,3.56,3.56,0.0,0.0,522166.48,182342.53
300079.SZ,20240229,4.82,5.08,4.8,5.07,4.85,0.22,4.5361,428648.09,214562.009
300080.SZ,20240229,4.16,4.35,4.13,4.34,4.18,0.16,3.8278,103177.36,44030.0
300081.SZ,20240229,7.17,7.63,7.15,7.61,7.25,0.36,4.9655,423918.46,317878.652
300082.SZ,20240229,4.84,5.1,4.73,5.1,4.85,0.25,5.1546,72494.0,36095.584
300083.SZ,20240229,4.95,5.28,4.92,5.27,5.01,0.26,5.1896,534130.24,275594.438
300084.SZ,20240229,5.4,5.76,5.4,5.72,5.5,0.22,4.0,91755.0,51943.264
300085.SZ,20240229,10.6,11.28,10.6,11.26,10.71,0.55,5.1354,216361.58,239623.383
300086.SZ,20240229,4.62,4.87,4.6,4.87,4.69,0.18,3.838,121589.51,58013.447
300087.SZ,20240229,8.03,8.69,7.98,8.6,8.33,0.27,3.2413,429860.27,359808.534
300088.SZ,20240229,5.1,5.37,5.08,5.36,5.14,0.22,4.2802,599276.78,315528.911
300091.SZ,20240229,1.99,2.19,1.94,2.18,2.0,0.18,9.0,651475.69,136122.585
300092.SZ,20240229,10.58,12.3,10.58,12.0,10.78,1.22,11.3173,191488.23,220976.78
300093.SZ,20240229,19.93,21.67,19.93,21.41,20.65,0.76,3.6804,305988.23,641800.715
300094.SZ,20240229,3.54,3.67,3.51,3.67,3.56,0.11,3.0899,568654.78,205830.022
300095.SZ,20240229,6.3,6.67,6.3,6.66,6.39,0.27,4.2254,52629.03,34437.073
300096.SZ,20240229,4.09,4.35,4.07,4.32,4.2,0.12,2.8571,323048.74,137581.002
300097.SZ,20240229,7.01,7.9,7.0,7.85,7.11,0.74,10.4079,355990.39,268747.932
300098.SZ,20240229,3.33,3.51,3.33,3.5,3.33,0.17,5.1051,482122.58,166534.24
300099.SZ,20240229,4.69,5.05,4.61,5.04,4.73,0.31,6.5539,178679.04,87691.124
300100.SZ,20240229,7.6,8.35,7.53,8.28,7.71,0.57,7.393,199097.03,161796.885
300101.SZ,20240229,15.25,16.49,15.24,16.46,15.55,0.91,5.8521,174988.89,282644.755
300102.SZ,20240229,6.03,6.38,6.0,6.37,6.01,0.36,5.99,175683.66,109897.448
300103.SZ,20240229,3.88,4.23,3.78,4.21,3.9,0.31,7.9487,109045.68,44109.923
300105.SZ,20240229,5.25,5.63,5.25,5.62,5.4,0.22,4.0741,144097.0,79282.375
300106.SZ,20240229,6.45,6.84,6.36,6.73,6.47,0.26,4.0185,107458.03,71173.708
300107.SZ,20240229,3.8,4.12,3.8,4.01,3.88,0.13,3.3505,74066.18,29362.595
300108.SZ,20240229,2.42,2.58,2.42,2.54,2.47,0.07,2.834,123373.0,31160.313
300109.SZ,20240229,17.21,17.88,17.03,17.75,17.16,0.59,3.4382,76717.76,135091.567
300110.SZ,20240229,3.45,3.57,3.41,3.57,3.48,0.09,2.5862,158268.59,55653.494
