ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300001.SZ,20240306,20.13,20.8,20.0,20.52,20.25,0.27,1.3333,185289.73,379789.725
300002.SZ,20240306,10.29,10.45,10.11,10.31,10.45,-0.14,-1.3397,903961.42,929865.523
300003.SZ,20240306,14.81,14.94,14.54,14.76,14.9,-0.14,-0.9396,149186.55,219825.359
300004.SZ,20240306,4.51,4.85,4.45,4.69,4.49,0.2,4.4543,129257.01,60716.374
300005.SZ,20240306,4.98,5.06,4.9,4.96,4.97,-0.01,-0.2012,101399.07,50417.448
300006.SZ,20240306,2.7,2.75,2.66,2.72,2.72,0.0,0.0,132419.04,35911.439
300007.SZ,20240306,16.12,17.11,16.09,16.75,16.25,0.5,3.0769,163295.2,271101.815
300008.SZ,20240306,3.7,3.75,3.68,3.72,3.72,0.0,0.0,244976.45,90954.675
300009.SZ,20240306,9.89,9.9,9.7,9.76,9.9,-0.14,-1.4141,102130.43,99965.051
300010.SZ,20240306,2.13,2.24,2.12,2.24,2.13,0.11,5.1643,186034.8,40983.286
300011.SZ,20240306,5.9,6.1,5.86,6.04,5.9,0.14,2.3729,81965.02,49042.16
300012.SZ,20240306,12.76,12.86,12.52,12.69,12.91,-0.22,-1.7041,247278.89,313453.469
300013.SZ,20240306,3.14,3.39,2.98,3.24,3.14,0.1,3.1847,621594.68,197458.472
300014.SZ,20240306,38.18,39.82,37.9,38.93,38.45,0.48,1.2484,214115.25,829913.375
300015.SZ,20240306,14.3,14.34,14.08,14.18,14.38,-0.2,-1.3908,686125.88,974208.677
300016.SZ,20240306,4.85,4.91,4.69,4.82,4.81,0.01,0.2079,96660.04,46395.732
300017.SZ,20240306,10.0,10.33,9.9,10.18,10.14,0.04,0.3945,1325539.3,1350469.536
300018.SZ,20240306,4.83,5.01,4.79,4.97,4.82,0.15,3.112,96138.26,47381.513
300019.SZ,20240306,13.4,13.8,13.36,13.63,13.48,0.15,1.1128,25581.0,34877.831
300020.SZ,20240306,6.63,6.81,6.63,6.73,6.69,0.04,0.5979,262462.68,176409.527
300021.SZ,20240306,3.93,3.99,3.88,3.94,3.9,0.04,1.0256,62440.0,24617.345
300022.SZ,20240306,4.02,4.16,4.02,4.07,4.08,-0.01,-0.2451,126039.0,51443.543
300024.SZ,20240306,11.77,12.45,11.77,12.24,11.88,0.36,3.0303,706043.12,859564.221
300025.SZ,20240306,8.21,8.44,8.18,8.37,8.29,0.08,0.965,73747.08,61478.616
300026.SZ,20240306,3.91,3.94,3.84,3.9,3.93,-0.03,-0.7634,322590.0,125477.683
300027.SZ,20240306,2.29,2.33,2.25,2.28,2.32,-0.04,-1.7241,743818.7,169649.497
300029.SZ,20240306,4.95,5.11,4.94,5.03,4.97,0.06,1.2072,28874.0,14484.854
300030.SZ,20240306,4.88,5.05,4.82,4.98,4.89,0.09,1.8405,72331.0,35732.531
300031.SZ,20240306,15.29,15.66,15.01,15.41,15.42,-0.01,-0.0649,150777.95,231690.046
300032.SZ,20240306,4.31,4.41,4.24,4.4,4.3,0.1,2.3256,235168.0,102202.441
300033.SZ,20240306,141.65,145.0,138.88,142.3,142.51,-0.21,-0.1474,71701.21,1019640.172
300034.SZ,20240306,16.26,16.56,16.03,16.42,16.27,0.15,0.9219,102204.71,166728.808
300035.SZ,20240306,8.93,9.13,8.8,8.99,8.98,0.01,0.1114,79145.0,70805.428
300036.SZ,20240306,16.85,17.11,16.56,16.89,17.05,-0.16,-0.9384,131686.82,221807.617
300037.SZ,20240306,40.3,41.48,40.18,40.86,40.5,0.36,0.8889,95521.9,390047.94
300039.SZ,20240306,6.29,6.37,6.25,6.31,6.32,-0.01,-0.1582,128812.58,81180.211
300040.SZ,20240306,4.41,4.72,4.36,4.65,4.54,0.11,2.4229,241693.48,110204.754
300041.SZ,20240306,8.6,8.88,8.59,8.76,8.66,0.1,1.1547,63902.48,55836.12
300042.SZ,20240306,33.0,34.2,32.23,33.87,33.4,0.47,1.4072,89436.49,296407.805
300043.SZ,20240306,2.88,2.95,2.86,2.92,2.9,0.02,0.6897,325353.41,94625.541
300044.SZ,20240306,5.46,6.22,5.43,6.0,5.52,0.48,8.6957,1440684.19,839553.259
300045.SZ,20240306,22.51,23.84,22.38,23.39,22.88,0.51,2.229,828013.54,1910120.062
300046.SZ,20240306,12.3,12.53,12.08,12.35,12.36,-0.01,-0.0809,40950.0,50387.211
300047.SZ,20240306,8.19,8.95,8.18,8.9,8.38,0.52,6.2053,995173.12,862617.698
300048.SZ,20240306,4.74,4.81,4.72,4.76,4.74,0.02,0.4219,44249.0,21040.783
300049.SZ,20240306,47.98,49.08,46.74,48.2,48.02,0.18,0.3748,47323.95,226853.486
300050.SZ,20240306,3.33,3.44,3.28,3.37,3.34,0.03,0.8982,188724.08,63464.806
300051.SZ,20240306,8.99,9.99,8.99,9.66,8.97,0.69,7.6923,99728.0,94433.032
300052.SZ,20240306,15.8,16.19,15.76,15.92,15.98,-0.06,-0.3755,68714.12,109668.644
300053.SZ,20240306,10.86,11.3,10.8,11.1,10.98,0.12,1.0929,310815.18,345394.991
300054.SZ,20240306,21.01,21.1,20.37,20.6,21.15,-0.55,-2.6005,86550.0,178897.36
300055.SZ,20240306,4.77,4.92,4.74,4.84,4.75,0.09,1.8947,53981.0,26090.577
300056.SZ,20240306,8.49,8.73,8.4,8.63,8.5,0.13,1.5294,82331.66,71072.086
300057.SZ,20240306,4.62,4.72,4.56,4.66,4.61,0.05,1.0846,90439.17,41875.94
300058.SZ,20240306,7.27,7.51,7.26,7.3,7.39,-0.09,-1.2179,840909.92,618800.671
300059.SZ,20240306,13.73,13.98,13.7,13.79,13.74,0.05,0.3639,1858424.83,2571065.823
